Uninstalled 1 package in 3ms
Installed 1 package in 1ms
case 0: 1 target points, 1 checked outputs
case 1: 1596 target points, 2 checked outputs
case 2: 6369 target points, 2 checked outputs
case 3: 6169 target points, 2 checked outputs
case 4: 1 target points, 1 checked outputs
case 5: 13958 target points, 2 checked outputs
case 6: 1 target points, 1 checked outputs
case 7: 8231 target points, 2 checked outputs
case 8: 12198 target points, 2 checked outputs
case 9: 13695 target points, 2 checked outputs
case 10: 10695 target points, 2 checked outputs
case 11: 1 target points, 1 checked outputs
case 12: 106491 target points, 2 checked outputs
case 13: 202170 target points, 2 checked outputs
case 14: 10858 target points, 2 checked outputs
case 15: 1 target points, 1 checked outputs
case 16: 40605 target points, 2 checked outputs
case 17: 57861 target points, 2 checked outputs
case 18: 32256 target points, 2 checked outputs
case 19: 29971 target points, 2 checked outputs
case 20: 61754 target points, 2 checked outputs
case 21: 119912 target points, 2 checked outputs
case 22: 19379 target points, 2 checked outputs
case 23: 101029 target points, 2 checked outputs
case 24: 36065 target points, 2 checked outputs
case 25: 53307 target points, 2 checked outputs
case 26: 77650 target points, 2 checked outputs
case 27: 9925 target points, 2 checked outputs
case 28: 71656 target points, 2 checked outputs
case 29: 113843 target points, 2 checked outputs
case 30: 17414 target points, 2 checked outputs
case 31: 27655 target points, 2 checked outputs
case 32: 51887 target points, 2 checked outputs
case 33: 51783 target points, 2 checked outputs
case 34: 30620 target points, 2 checked outputs
case 35: 20442 target points, 2 checked outputs
case 36: 96381 target points, 2 checked outputs
case 37: 15823 target points, 2 checked outputs
case 38: 48440 target points, 2 checked outputs
case 39: 81786 target points, 2 checked outputs
case 40: 18947 target points, 2 checked outputs
case 41: 26226 target points, 2 checked outputs
case 42: 70347 target points, 2 checked outputs
case 43: 1 target points, 1 checked outputs
case 44: 27236 target points, 2 checked outputs
case 45: 36029 target points, 2 checked outputs
case 46: 83890 target points, 2 checked outputs
case 47: 70310 target points, 2 checked outputs
case 48: 11827 target points, 2 checked outputs
